,CIF filename,fitness
765,cavmod_P1_H,4.858724117279053
766,cavrau_P1,4.803609848022461
767,cavrey_P1,4.812283515930176
768,cavsoj_P1,4.783664226531982
769,cavsup_P1_H,4.814576148986816
770,cavtaw_P1_H,4.803112506866455
771,cavwoo_P1,4.73759651184082
772,cavxop_P1,4.805813312530518
773,cawdou_P1_charged,4.8049492835998535
774,cawdou02_P1_charged,
775,cawgaj_P1,4.82481575012207
776,cawvih_P1_H,
777,caxtay_P1,
778,caxtus_P1_charged,
779,caxvii_P1,4.844537734985352
780,caxvoo_P1,4.865914344787598
781,caxvuu_P1,4.8355488777160645
782,caxwab_P1,4.867578983306885
783,caxwef_P1,4.855024814605713
784,caxwij_P1,4.847844123840332
785,caxzos_P1,4.778679847717285
786,caybah_P1,
787,caybah01_P1,
788,caybah02_P1,
789,cayden_P1,4.843506813049316
790,caydir_P1,4.84669303894043
791,caydox_P1,4.839969158172607
792,caydox01_P1,4.852321147918701
793,caydox02_P1,4.848919868469238
794,caydox03_P1,4.853092193603516
795,caydox04_P1,4.854903221130371
796,caydox05_P1,4.8526835441589355
797,caydox06_P1,4.853842258453369
798,caygiu_P1,4.852112293243408
799,caykeu_P1_H,
800,cayrie_P1,
801,cayrok_P1,
802,caysie_P1,
803,caysok_P1,
804,cayyeg_P1,
805,cazfoa_P1,
806,cazgit_P1,
807,cazgoz_P1_charged_H,
808,caznic_P1_charged_H,4.817788600921631
809,caznoi_P1_charged_H,4.82391881942749
810,cazxot_P1,
811,cazzip_P1_charged,
812,cebdod_P1_charged_H,
813,cebgas_P1,4.823230266571045
814,cecfey_P1,
815,cecgup_P1,
816,cechaw_P1,
817,ceckih_P1_charged,4.826339244842529
818,ceckon_P1_charged,4.843396186828613
819,cecvai_P1_H,4.807568073272705
820,cedfic_P1,
821,cefdau_P1_charged,
822,ceflef_P1_H,
823,cefnej_P1,
824,cefnin_P1,
825,cefnot_P1,
826,cehkuw_P1_H,
827,cehlad_P1_H,4.8259663581848145
828,cehwix_P1,4.815399169921875
829,cejbea_P1,4.785610675811768
830,cejcaw_P1_charged_H,
831,cejzau_P1,
832,cekhil_P1,4.806496620178223
833,cekrob_P1_charged,
834,cekruh_P1_H,4.83429479598999
835,celjua_P1_charged,4.783192157745361
836,celkah_P1,4.776824951171875
837,celkel_P1,4.801342964172363
838,celnuf_P1_charged_H,4.7590508460998535
839,celyea_P1,
840,celyie_P1,
841,celzea_P1,4.810138702392578
842,celzie_P1_H,4.810647010803223
843,celzok_P1_H,
844,celzuq_P1_H,4.740623950958252
845,cemjov_P1_charged,
846,cemlis_P1_H,
847,cenpui_P1,
848,cenqap_P1_charged,4.785641193389893
849,cepbeh_P1,
850,cermiv_P1_H,
851,ceryoq_P1,4.8314008712768555
852,cespau_P1,4.80859899520874
853,cesqup_P1,4.759382724761963
854,cesyef_P1,4.771763324737549
855,cetfox_P1,4.792535305023193
856,cetfud_P1,4.875172138214111
857,cetheq_P1,4.801792621612549
858,cetjan_P1,4.795083045959473
859,cetkuk_P1_charged,4.817477703094482
860,cetlar_P1_charged,4.81220006942749
861,cettut_P1,4.774875640869141
862,cetvaa_P1,4.830307960510254
863,cevcak_P1_charged,4.78456449508667
864,cevcis_P1,
865,cevgiw_P1,
866,cevjev_P1_charged,
867,cewsop_P1,4.771997928619385
868,cexhet_P1,
869,ceyput_P1,4.756027698516846
870,ceyput01_P1,4.772119045257568
871,ceyput02_P1,4.76512336730957
872,cezcoc_P1_charged,
873,cezfiy_P1,4.782060146331787
874,cezyoy_P1,4.8019256591796875
